pilotId,pilotCategory,canonicalCellId,latitude,longitude,officialAreaLabel,zoneId,v1ResidentialAreaRank,v1ZoneRank,zoneReleaseBand,coreCellCount,v1MeanRobustCandidateShare500m,v1MeanFavorablePillarsP25
V2TOP-001,V1_TOP100_RESIDENTIAL_ZONE,g298-80,35.571951,139.51834,神奈川県横浜市青葉区鉄町,HRZ01021,1,1,A_HIGH_EVIDENCE_CLUSTER,273,0.6014115520876865,3.21978021978022
V2TOP-002,V1_TOP100_RESIDENTIAL_ZONE,g478-44,35.410255,139.478587,神奈川県横浜市泉区下飯田町,HRZ02444,2,2,A_HIGH_EVIDENCE_CLUSTER,223,0.6150201800224229,2.780269058295964
V2TOP-003,V1_TOP100_RESIDENTIAL_ZONE,g380-128,35.49829,139.571343,神奈川県横浜市保土ケ谷区上菅田町,HRZ01776,3,3,A_HIGH_EVIDENCE_CLUSTER,195,0.5673949535767694,3.0
V2TOP-004,V1_TOP100_RESIDENTIAL_ZONE,g531-83,35.362645,139.521652,神奈川県横浜市戸塚区小雀町,HRZ02662,4,4,A_HIGH_EVIDENCE_CLUSTER,175,0.6537682308787615,3.182857142857143
V2TOP-005,V1_TOP100_RESIDENTIAL_ZONE,g486-109,35.403069,139.550363,神奈川県横浜市戸塚区舞岡町,HRZ02490,5,5,A_HIGH_EVIDENCE_CLUSTER,152,0.6743008408417498,3.4276315789473686
V2TOP-006,V1_TOP100_RESIDENTIAL_ZONE,g375-80,35.502782,139.51834,神奈川県横浜市緑区三保町,HRZ01585,6,6,A_HIGH_EVIDENCE_CLUSTER,145,0.8188168874113489,3.386206896551724
V2TOP-007,V1_TOP100_RESIDENTIAL_ZONE,g433-111,35.450682,139.552572,神奈川県横浜市保土ケ谷区今井町,HRZ02166,7,7,A_HIGH_EVIDENCE_CLUSTER,135,0.6617283950617284,3.2296296296296294
V2TOP-008,V1_TOP100_RESIDENTIAL_ZONE,g308-49,35.562965,139.484108,神奈川県横浜市青葉区奈良町,HRZ01159,8,8,A_HIGH_EVIDENCE_CLUSTER,126,0.5860978835978836,3.126984126984127
V2TOP-009,V1_TOP100_RESIDENTIAL_ZONE,g378-72,35.500087,139.509504,神奈川県横浜市旭区上川井町,HRZ01705,9,9,A_HIGH_EVIDENCE_CLUSTER,110,0.7539841191701657,3.0727272727272728
V2TOP-010,V1_TOP100_RESIDENTIAL_ZONE,g385-89,35.493798,139.528277,神奈川県横浜市旭区上白根町,HRZ01795,10,10,A_HIGH_EVIDENCE_CLUSTER,107,0.5699778176518814,3.308411214953271
V2TOP-011,V1_TOP100_RESIDENTIAL_ZONE,g544-159,35.350968,139.605579,神奈川県横浜市金沢区釜利谷東五丁目,HRZ02822,11,11,A_HIGH_EVIDENCE_CLUSTER,102,0.6351972287364857,3.176470588235294
V2TOP-012,V1_TOP100_RESIDENTIAL_ZONE,g359-54,35.517154,139.489629,神奈川県横浜市緑区長津田町,HRZ01527,12,12,A_HIGH_EVIDENCE_CLUSTER,95,0.7180691467286334,2.9894736842105263
V2TOP-013,V1_TOP100_RESIDENTIAL_ZONE,g506-121,35.385102,139.563615,神奈川県横浜市港南区野庭町,HRZ02575,13,13,A_HIGH_EVIDENCE_CLUSTER,92,0.6085605412150745,3.3152173913043477
V2TOP-014,V1_TOP100_RESIDENTIAL_ZONE,g345-99,35.529727,139.539319,神奈川県横浜市緑区北八朔町,HRZ01446,14,14,A_HIGH_EVIDENCE_CLUSTER,81,0.6177411881114373,3.185185185185185
V2TOP-015,V1_TOP100_RESIDENTIAL_ZONE,g329-162,35.5441,139.608905,神奈川県横浜市港北区新吉田町,HRZ01354,15,15,A_HIGH_EVIDENCE_CLUSTER,75,0.5624691358024692,3.24
V2TOP-016,V1_TOP100_RESIDENTIAL_ZONE,g256-121,35.609685,139.563615,神奈川県川崎市多摩区枡形六丁目,HRZ00822,16,16,A_HIGH_EVIDENCE_CLUSTER,73,0.6949101949101949,3.356164383561644
V2TOP-017,V1_TOP100_RESIDENTIAL_ZONE,g294-46,35.575544,139.480795,神奈川県川崎市麻生区岡上,HRZ01104,17,17,A_HIGH_EVIDENCE_CLUSTER,67,0.7616928114602523,3.5074626865671643
V2TOP-018,V1_TOP100_RESIDENTIAL_ZONE,g552-140,35.343781,139.584595,神奈川県横浜市栄区上郷町,HRZ02842,18,18,A_HIGH_EVIDENCE_CLUSTER,60,0.8184583333333333,3.1666666666666665
